"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3"
"Larry Nance Jr.","NOP",30,65,34,31,1380.8,441,186,305,14,42,55,79,106,248,354,119,42,56,37,133,1281,3,0
"Naji Marshall","NOP",25,77,40,37,1792,698,247,571,66,218,138,175,48,231,279,189,97,54,14,113,1423,0,0
"Trey Murphy III","NOP",23,79,39,40,2448,1148,387,800,202,497,172,190,59,222,281,112,61,89,43,155,1988,1,0
"Willy Hernangomez","NOP",29,38,23,15,457.7,262,89,169,3,11,81,104,58,122,180,33,39,17,13,64,579,2,0
"Zion Williamson","NOP",22,29,17,12,956.1,754,285,469,7,19,177,248,58,144,202,133,99,32,16,65,1241,5,0
"Derrick Rose","NYK",34,27,12,15,337.9,152,61,159,19,63,11,12,8,32,40,46,22,7,5,18,283,0,0
"Duane Washington Jr.","NYK",23,31,17,14,393.8,244,94,256,40,111,16,24,2,34,36,63,34,6,4,23,378,0,0
"Evan Fournier","NYK",30,27,15,12,458.7,165,56,166,35,114,18,21,4,45,49,36,22,16,3,46,313,0,0
"Immanuel Quickley","NYK",24,81,47,34,2344.1,1209,419,936,168,454,203,248,58,279,337,279,100,80,14,166,2214,4,0
"Isaiah Hartenstein","NYK",25,82,47,35,1628.2,406,175,327,8,37,48,71,209,327,536,102,66,53,64,213,1487,2,0
"Isaiah Roby","NYK",25,42,9,33,473.6,172,67,155,18,60,20,41,21,87,108,38,31,18,7,53,403,0,0
"Jalen Brunson","NYK",26,68,40,28,2378.7,1633,587,1195,134,322,325,392,40,201,241,421,142,61,15,152,2640,5,0
"Jericho Sims","NYK",24,52,31,21,812.4,178,83,107,0,1,12,16,99,143,242,25,27,15,28,96,608,2,0
"Josh Hart","NYK",28,76,42,34,2454,743,275,520,61,164,132,176,142,451,593,290,117,88,21,195,2100,10,0
"Julius Randle","NYK",28,77,44,33,2737.3,1936,658,1432,218,636,402,531,141,626,767,316,216,49,21,233,3324,40,0
"Miles McBride","NYK",22,64,36,28,760.2,222,77,215,40,134,28,42,13,37,50,72,25,37,8,60,500,0,0
"Mitchell Robinson","NYK",25,59,35,24,1588.8,435,188,280,0,0,59,122,267,288,555,53,41,56,109,160,1635,13,0
"Obi Toppin","NYK",25,67,37,30,1050.5,497,187,419,85,247,38,47,29,158,187,66,38,23,12,68,887,0,0
"Quentin Grimes","NYK",23,71,41,30,2120.9,799,282,602,157,407,78,98,49,180,229,150,69,47,26,177,1449,0,0
"RJ Barrett","NYK",23,73,40,33,2475.5,1431,510,1176,121,390,290,392,60,308,368,201,164,31,15,179,2148,3,0
"Trevor Keels","NYK",19,3,3,0,8,3,1,4,1,4,0,0,0,2,2,0,0,0,0,0,5,0,0
"Aaron Wiggins","OKC",24,70,37,33,1297.4,479,186,363,48,122,59,71,68,143,211,80,56,39,15,110,958,1,0
"Aleksej Pokusevski","OKC",21,34,16,18,701.3,276,108,249,38,104,22,35,45,114,159,64,43,20,43,58,709,3,0
"Dario Saric","OKC",29,57,26,31,806,362,127,277,45,115,63,76,53,154,207,74,55,20,7,99,747,2,0
"Isaiah Joe","OKC",23,73,36,37,1395.3,691,224,508,161,394,82,100,27,148,175,88,39,48,8,105,1162,0,0
"Jalen Williams","OKC",22,75,36,39,2275.6,1056,414,794,73,205,155,191,84,253,337,248,123,103,35,191,2123,3,0
"Jared Butler","OKC",22,6,3,3,76.5,37,15,32,7,14,0,0,1,3,4,8,5,5,0,5,64,0,0
"Jaylin Williams","OKC",21,49,23,26,914.2,288,102,234,46,113,38,54,44,197,241,76,37,28,12,111,774,0,0
"Jeremiah Robinson-Earl","OKC",22,43,16,27,813.7,292,110,248,37,111,35,42,71,109,180,43,19,24,11,71,659,1,0
"Josh Giddey","OKC",20,76,34,42,2367.3,1260,539,1118,76,234,106,145,148,451,599,469,211,57,31,143,2735,28,4
"Kenrich Williams","OKC",28,53,26,27,1206,425,179,346,50,134,17,39,97,164,261,105,32,45,14,112,1041,2,0
"Lindy Waters III","OKC",25,41,20,21,530.8,214,70,178,58,162,16,20,16,59,75,28,10,14,11,42,411,0,0
"Luguentz Dort","OKC",24,74,36,38,2272.4,1013,339,873,135,409,200,259,128,216,344,154,92,75,23,243,1859,5,0
"Olivier Sarr","OKC",24,9,5,4,113.6,36,15,30,1,8,5,7,12,19,31,4,4,1,5,17,93,1,0
"Ousmane Dieng","OKC",20,39,20,19,568.7,193,76,181,26,98,15,23,19,86,105,46,26,14,7,42,425,0,0
"Shai Gilgeous-Alexander","OKC",24,68,33,35,2416,2135,704,1381,58,168,669,739,59,270,329,371,192,112,65,192,3425,3,0
